"subject_id","trial_type","original_trial_index","x","y","item"
"subj_24","free_sort",5,420,355,"feel scared"
"subj_24","free_sort",5,395,166,"remember something"
"subj_24","free_sort",5,397,125,"think about something"
"subj_24","free_sort",5,179,164,"sit down"
"subj_24","free_sort",5,192,167,"take a walk"
"subj_24","free_sort",5,187,91,"jump up and down"
"subj_24","free_sort",5,180,146,"kick something"
"subj_24","free_sort",5,395,165,"hear something"
"subj_24","free_sort",5,260,392,"become hungry"
"subj_24","free_sort",5,396,156,"reach for something"
"subj_24","free_sort",5,240,349,"get sick"
"subj_24","free_sort",5,411,326,"experience pain"
"subj_24","free_sort",5,346,264,"choose what to do"
"subj_25","free_sort",5,391,469,"see something"
"subj_25","free_sort",5,189,395,"get tired"
"subj_25","free_sort",5,419,141,"kick something"
"subj_25","free_sort",5,142,155,"remember something"
"subj_25","free_sort",5,446,360,"hear something"
"subj_25","free_sort",5,63,311,"sit down"
"subj_25","free_sort",5,420,396,"think about something"
"subj_25","free_sort",5,171,78,"feel scared"
"subj_25","free_sort",5,513,182,"take a walk"
"subj_25","free_sort",5,191,202,"experience pain"
"subj_25","free_sort",5,454,181,"choose what to do"
"subj_25","free_sort",5,122,388,"get sick"
"subj_25","free_sort",5,484,293,"become hungry"
"subj_25","free_sort",5,45,231,"reach for something"
"subj_25","free_sort",5,147,292,"jump up and down"
"subj_26","free_sort",21,365,71,"sit down"
"subj_26","free_sort",21,401,155,"kick something"
"subj_26","free_sort",21,420,119,"reach for something"
"subj_26","free_sort",21,438,410,"remember something"
"subj_26","free_sort",21,98,255,"become hungry"
"subj_26","free_sort",21,277,50,"jump up and down"
"subj_26","free_sort",21,151,206,"hear something"
"subj_26","free_sort",21,97,303,"get sick"
"subj_26","free_sort",21,97,184,"experience pain"
"subj_26","free_sort",21,315,119,"take a walk"
"subj_26","free_sort",21,438,352,"choose what to do"
"subj_26","free_sort",21,101,353,"feel scared"
"subj_26","free_sort",21,146,269,"get tired"
"subj_26","free_sort",21,470,158,"see something"
"subj_26","free_sort",21,385,369,"think about something"
"subj_27","free_sort",5,488,256,"remember something"
"subj_27","free_sort",5,80,479,"experience pain"
"subj_27","free_sort",5,312,489,"kick something"
"subj_27","free_sort",5,50,402,"feel scared"
"subj_27","free_sort",5,91,483,"get tired"
"subj_27","free_sort",5,63,439,"become hungry"
"subj_27","free_sort",5,284,446,"get sick"
"subj_27","free_sort",5,150,60,"sit down"
"subj_27","free_sort",5,370,81,"take a walk"
"subj_27","free_sort",5,74,488,"hear something"
"subj_27","free_sort",5,487,216,"think about something"
"subj_27","free_sort",5,358,166,"choose what to do"
"subj_27","free_sort",5,328,534,"jump up and down"
"subj_27","free_sort",5,166,139,"reach for something"
"subj_27","free_sort",5,326,524,"see something"
"subj_28","free_sort",21,285,230,"kick something"
"subj_28","free_sort",21,260,210,"experience pain"
"subj_28","free_sort",21,87,324,"think about something"
"subj_28","free_sort",21,82,399,"see something"
"subj_28","free_sort",21,360,201,"get sick"
"subj_28","free_sort",21,322,255,"hear something"
"subj_28","free_sort",21,129,364,"sit down"
"subj_28","free_sort",21,92,429,"remember something"
"subj_28","free_sort",21,259,219,"become hungry"
"subj_28","free_sort",21,263,151,"feel scared"
"subj_28","free_sort",21,133,404,"choose what to do"
"subj_28","free_sort",21,391,190,"get tired"
"subj_28","free_sort",21,117,369,"reach for something"
"subj_28","free_sort",21,218,160,"jump up and down"
"subj_28","free_sort",21,393,163,"take a walk"
"subj_29","free_sort",21,487,351,"sit down"
"subj_29","free_sort",21,194,469,"get sick"
"subj_29","free_sort",21,275,109,"reach for something"
"subj_29","free_sort",21,180,92,"see something"
"subj_29","free_sort",21,280,327,"get tired"
"subj_29","free_sort",21,47,265,"kick something"
"subj_29","free_sort",21,237,519,"experience pain"
"subj_29","free_sort",21,231,46,"hear something"
"subj_29","free_sort",21,309,502,"feel scared"
"subj_29","free_sort",21,450,212,"remember something"
"subj_29","free_sort",21,452,135,"think about something"
"subj_29","free_sort",21,57,328,"take a walk"
"subj_29","free_sort",21,332,381,"jump up and down"
"subj_29","free_sort",21,391,261,"choose what to do"
"subj_29","free_sort",21,525,299,"become hungry"
"subj_30","free_sort",21,466,206,"take a walk"
"subj_30","free_sort",21,171,116,"remember something"
"subj_30","free_sort",21,458,177,"jump up and down"
"subj_30","free_sort",21,290,285,"become hungry"
"subj_30","free_sort",21,473,228,"reach for something"
"subj_30","free_sort",21,196,99,"think about something"
"subj_30","free_sort",21,257,318,"get sick"
"subj_30","free_sort",21,436,195,"choose what to do"
"subj_30","free_sort",21,100,402,"feel scared"
"subj_30","free_sort",21,321,326,"get tired"
"subj_30","free_sort",21,142,395,"see something"
"subj_30","free_sort",21,436,179,"kick something"
"subj_30","free_sort",21,346,281,"experience pain"
"subj_30","free_sort",21,110,357,"hear something"
"subj_30","free_sort",21,322,347,"sit down"
"subj_31","free_sort",21,284,50,"feel scared"
"subj_31","free_sort",21,160,271,"think about something"
"subj_31","free_sort",21,266,481,"get tired"
"subj_31","free_sort",21,486,239,"reach for something"
"subj_31","free_sort",21,363,52,"kick something"
"subj_31","free_sort",21,89,273,"remember something"
"subj_31","free_sort",21,352,478,"take a walk"
"subj_31","free_sort",21,319,124,"experience pain"
"subj_31","free_sort",21,128,338,"choose what to do"
"subj_31","free_sort",21,94,125,"hear something"
"subj_31","free_sort",21,392,122,"get sick"
"subj_31","free_sort",21,237,407,"sit down"
"subj_31","free_sort",21,320,409,"become hungry"
"subj_31","free_sort",21,173,134,"see something"
"subj_31","free_sort",21,468,307,"jump up and down"
"subj_32","free_sort",5,526,314,"get sick"
"subj_32","free_sort",5,500,152,"feel scared"
"subj_32","free_sort",5,524,239,"experience pain"
"subj_32","free_sort",5,136,135,"reach for something"
"subj_32","free_sort",5,302,409,"choose what to do"
"subj_32","free_sort",5,420,283,"become hungry"
"subj_32","free_sort",5,186,504,"take a walk"
"subj_32","free_sort",5,274,52,"hear something"
"subj_32","free_sort",5,334,524,"kick something"
"subj_32","free_sort",5,402,180,"get tired"
"subj_32","free_sort",5,362,53,"remember something"
"subj_32","free_sort",5,254,521,"jump up and down"
"subj_32","free_sort",5,260,119,"think about something"
"subj_32","free_sort",5,418,487,"sit down"
"subj_32","free_sort",5,186,76,"see something"
"subj_33","free_sort",5,86,373,"see something"
"subj_33","free_sort",5,143,348,"hear something"
"subj_33","free_sort",5,445,150,"experience pain"
"subj_33","free_sort",5,474,393,"sit down"
"subj_33","free_sort",5,493,203,"feel scared"
"subj_33","free_sort",5,102,177,"take a walk"
"subj_33","free_sort",5,396,503,"get sick"
"subj_33","free_sort",5,162,397,"remember something"
"subj_33","free_sort",5,183,125,"reach for something"
"subj_33","free_sort",5,126,446,"think about something"
"subj_33","free_sort",5,433,448,"get tired"
"subj_33","free_sort",5,199,61,"jump up and down"
"subj_33","free_sort",5,416,225,"become hungry"
"subj_33","free_sort",5,112,96,"kick something"
"subj_33","free_sort",5,160,201,"choose what to do"
"subj_34","free_sort",5,319,105,"see something"
"subj_34","free_sort",5,268,140,"remember something"
"subj_34","free_sort",5,444,448,"get sick"
"subj_34","free_sort",5,470,195,"choose what to do"
"subj_34","free_sort",5,512,213,"sit down"
"subj_34","free_sort",5,63,130,"take a walk"
"subj_34","free_sort",5,391,480,"get tired"
"subj_34","free_sort",5,195,441,"kick something"
"subj_34","free_sort",5,50,189,"jump up and down"
"subj_34","free_sort",5,301,44,"think about something"
"subj_34","free_sort",5,501,151,"become hungry"
"subj_34","free_sort",5,139,423,"feel scared"
"subj_34","free_sort",5,191,494,"hear something"
"subj_34","free_sort",5,262,79,"reach for something"
"subj_34","free_sort",5,148,464,"experience pain"
"subj_35","free_sort",5,144,369,"choose what to do"
"subj_35","free_sort",5,533,287,"take a walk"
"subj_35","free_sort",5,316,147,"get tired"
"subj_35","free_sort",5,79,402,"remember something"
"subj_35","free_sort",5,320,55,"experience pain"
"subj_35","free_sort",5,135,450,"think about something"
"subj_35","free_sort",5,351,81,"feel scared"
"subj_35","free_sort",5,265,18,"get sick"
"subj_35","free_sort",5,221,398,"hear something"
"subj_35","free_sort",5,180,444,"see something"
"subj_35","free_sort",5,499,352,"kick something"
"subj_35","free_sort",5,431,398,"reach for something"
"subj_35","free_sort",5,469,277,"jump up and down"
"subj_35","free_sort",5,450,323,"sit down"
"subj_35","free_sort",5,265,84,"become hungry"
"subj_36","free_sort",5,260,495,"feel scared"
"subj_36","free_sort",5,111,142,"see something"
"subj_36","free_sort",5,496,247,"become hungry"
"subj_36","free_sort",5,68,279,"reach for something"
"subj_36","free_sort",5,77,199,"remember something"
"subj_36","free_sort",5,435,231,"jump up and down"
"subj_36","free_sort",5,497,300,"sit down"
"subj_36","free_sort",5,134,188,"hear something"
"subj_36","free_sort",5,430,303,"take a walk"
"subj_36","free_sort",5,228,444,"experience pain"
"subj_36","free_sort",5,193,495,"choose what to do"
"subj_36","free_sort",5,119,288,"think about something"
"subj_36","free_sort",5,372,273,"get tired"
"subj_36","free_sort",5,120,236,"kick something"
"subj_36","free_sort",5,416,350,"get sick"
"subj_37","free_sort",5,147,125,"think about something"
"subj_37","free_sort",5,396,471,"take a walk"
"subj_37","free_sort",5,184,223,"remember something"
"subj_37","free_sort",5,349,408,"feel scared"
"subj_37","free_sort",5,481,320,"get sick"
"subj_37","free_sort",5,431,302,"get tired"
"subj_37","free_sort",5,171,270,"hear something"
"subj_37","free_sort",5,98,209,"see something"
"subj_37","free_sort",5,493,214,"experience pain"
"subj_37","free_sort",5,448,430,"become hungry"
"subj_37","free_sort",5,208,103,"reach for something"
"subj_37","free_sort",5,109,285,"kick something"
"subj_37","free_sort",5,443,407,"jump up and down"
"subj_37","free_sort",5,360,461,"sit down"
"subj_37","free_sort",5,437,277,"choose what to do"
"subj_38","free_sort",5,142,336,"reach for something"
"subj_38","free_sort",5,48,329,"jump up and down"
"subj_38","free_sort",5,54,251,"kick something"
"subj_38","free_sort",5,124,283,"take a walk"
"subj_38","free_sort",5,440,290,"get sick"
"subj_38","free_sort",5,323,472,"remember something"
"subj_38","free_sort",5,91,397,"sit down"
"subj_38","free_sort",5,327,87,"feel scared"
"subj_38","free_sort",5,380,273,"become hungry"
"subj_38","free_sort",5,122,122,"see something"
"subj_38","free_sort",5,286,424,"choose what to do"
"subj_38","free_sort",5,267,502,"think about something"
"subj_38","free_sort",5,166,122,"hear something"
"subj_38","free_sort",5,392,116,"get tired"
"subj_38","free_sort",5,434,274,"experience pain"
"subj_39","free_sort",5,423,216,"experience pain"
"subj_39","free_sort",5,488,188,"get sick"
"subj_39","free_sort",5,407,77,"become hungry"
"subj_39","free_sort",5,235,106,"think about something"
"subj_39","free_sort",5,418,265,"feel scared"
"subj_39","free_sort",5,192,154,"remember something"
"subj_39","free_sort",5,397,439,"kick something"
"subj_39","free_sort",5,261,470,"take a walk"
"subj_39","free_sort",5,236,520,"sit down"
"subj_39","free_sort",5,175,305,"hear something"
"subj_39","free_sort",5,202,485,"choose what to do"
"subj_39","free_sort",5,136,349,"reach for something"
"subj_39","free_sort",5,359,84,"get tired"
"subj_39","free_sort",5,116,314,"see something"
"subj_39","free_sort",5,400,415,"jump up and down"
"subj_40","free_sort",5,382,116,"take a walk"
"subj_40","free_sort",5,419,220,"kick something"
"subj_40","free_sort",5,342,409,"get sick"
"subj_40","free_sort",5,344,263,"reach for something"
"subj_40","free_sort",5,298,48,"choose what to do"
